"","Cidiffusion","Adiffusion","Aappdiffusion","variable","conductance","resistance"
"1","-14.0805894452511","-4.88507368065639","-2.88507368065639","Mesophyll Conductance","0.125","11"
"2","-11.8541114570766","-4.73176393213457","-2.73176393213457","Mesophyll Conductance","0.125","11"
"3","-9.63096032171488","-4.57887004021436","-2.57887004021436","Mesophyll Conductance","0.125","11"
"4","-7.41112252124025","-4.42639031515503","-2.42639031515503","Mesophyll Conductance","0.125","11"
"5","-5.19458461086401","-4.274323076358","-2.274323076358","Mesophyll Conductance","0.125","11"
"6","-2.98133321844053","-4.12266665230507","-2.12266665230507","Mesophyll Conductance","0.125","11"
"7","-0.771355043977344","-3.97141938049717","-1.97141938049717","Mesophyll Conductance","0.125","11"
"8","1.43536314085088","-3.82057960739364","-1.82057960739364","Mesophyll Conductance","0.125","11"
"9","3.63883449318441","-3.67014568835195","-1.67014568835195","Mesophyll Conductance","0.125","11"
"10","5.83907209945663","-3.52011598756792","-1.52011598756792","Mesophyll Conductance","0.125","11"
"11","8.0360889758684","-3.37048887801645","-1.37048887801645","Mesophyll Conductance","0.125","11"
"12","10.2298980688585","-3.22126274139268","-1.22126274139268","Mesophyll Conductance","0.125","11"
"13","12.4205122555706","-3.07243596805367","-1.07243596805367","Mesophyll Conductance","0.125","11"
"14","14.607944344316","-2.9240069569605","-0.924006956960503","Mesophyll Conductance","0.125","11"
"15","16.7922070750329","-2.77597411562088","-0.775974115620881","Mesophyll Conductance","0.125","11"
"16","18.9733131197426","-2.62833586003218","-0.62833586003218","Mesophyll Conductance","0.125","11"
"17","21.1512750830004","-2.48109061462494","-0.481090614624945","Mesophyll Conductance","0.125","11"
"18","23.3261055023453","-2.33423681220683","-0.334236812206834","Mesophyll Conductance","0.125","11"
"19","25.4978168487438","-2.18777289390703","-0.18777289390703","Mesophyll Conductance","0.125","11"
"20","27.6664215270314","-2.04169730912108","-0.0416973091210808","Mesophyll Conductance","0.125","11"
"21","29.8319318763507","-1.89600851545616","0.103991484543837","Mesophyll Conductance","0.125","11"
"22","31.9943601705855","-1.75070497867682","0.249295021323183","Mesophyll Conductance","0.125","11"
"23","34.1537186187914","-1.60578517265107","0.394214827348927","Mesophyll Conductance","0.125","11"
"24","36.3100193656238","-1.46124757929703","0.53875242070297","Mesophyll Conductance","0.125","11"
"25","38.4632744917613","-1.31709068852984","0.682909311470162","Mesophyll Conductance","0.125","11"
"26","40.613496014327","-1.17331299820913","0.826687001790874","Mesophyll Conductance","0.125","11"
"27","42.7606958873056","-1.0299130140868","0.970086985913197","Mesophyll Conductance","0.125","11"
"28","44.9048860019575","-0.886889249755312","1.11311075024469","Mesophyll Conductance","0.125","11"
"29","47.0460781872299","-0.744240226596262","1.25575977340374","Mesophyll Conductance","0.125","11"
"30","49.1842842101642","-0.601964473729474","1.39803552627053","Mesophyll Conductance","0.125","11"
"31","51.3195157763005","-0.460060527962432","1.53993947203757","Mesophyll Conductance","0.125","11"
"32","53.4517845300791","-0.318526933740115","1.68147306625989","Mesophyll Conductance","0.125","11"
"33","55.5811020552381","-0.177362243095233","1.82263775690477","Mesophyll Conductance","0.125","11"
"34","57.7074798752092","-0.0365650155988515","1.96343498440115","Mesophyll Conductance","0.125","11"
"35","59.8309294535088","0.103866181688606","2.10386618168861","Mesophyll Conductance","0.125","11"
"36","61.9514621941277","0.243932774265964","2.24393277426596","Mesophyll Conductance","0.125","11"
"37","64.0690894419164","0.383636180239546","2.38363618023955","Mesophyll Conductance","0.125","11"
"38","66.1838224829681","0.52297781037101","2.52297781037101","Mesophyll Conductance","0.125","11"
"39","68.2956725449988","0.661959068124851","2.66195906812485","Mesophyll Conductance","0.125","11"
"40","70.4046507977241","0.800581349715519","2.80058134971552","Mesophyll Conductance","0.125","11"
"41","72.5107683532333","0.938846044154168","2.93884604415417","Mesophyll Conductance","0.125","11"
"42","74.6140362663605","1.07675453329506","3.07675453329506","Mesophyll Conductance","0.125","11"
"43","76.7144655350527","1.21430819188159","3.21430819188159","Mesophyll Conductance","0.125","11"
"44","78.8120671007358","1.35150838759198","3.35150838759198","Mesophyll Conductance","0.125","11"
"45","80.9068518486767","1.48835648108459","3.48835648108459","Mesophyll Conductance","0.125","11"
"46","82.9988306083433","1.62485382604291","3.62485382604291","Mesophyll Conductance","0.125","11"
"47","85.0880141537616","1.7610017692202","3.7610017692202","Mesophyll Conductance","0.125","11"
"48","87.1744132038702","1.89680165048378","3.89680165048378","Mesophyll Conductance","0.125","11"
"49","89.2580384228717","2.03225480285896","4.03225480285896","Mesophyll Conductance","0.125","11"
"50","91.3389004205816","2.1673625525727","4.1673625525727","Mesophyll Conductance","0.125","11"
"51","93.4170097527749","2.30212621909686","4.30212621909686","Mesophyll Conductance","0.125","11"
"52","95.4923769215294","2.43654711519118","4.43654711519118","Mesophyll Conductance","0.125","11"
"53","97.5650123755668","2.57062654694585","4.57062654694585","Mesophyll Conductance","0.125","11"
"54","99.6349265105913","2.70436581382391","4.70436581382391","Mesophyll Conductance","0.125","11"
"55","101.702129669625","2.83776620870315","4.83776620870315","Mesophyll Conductance","0.125","11"
"56","103.766632143342","2.97082901791777","4.97082901791777","Mesophyll Conductance","0.125","11"
"57","105.828444170398","3.10355552129979","5.10355552129979","Mesophyll Conductance","0.125","11"
"58","107.88757593776","3.23594699222004","5.23594699222004","Mesophyll Conductance","0.125","11"
"59","109.944037581031","3.36800469762885","5.36800469762885","Mesophyll Conductance","0.125","11"
"60","111.997839184773","3.49972989809656","5.49972989809656","Mesophyll Conductance","0.125","11"
"61","114.048990782828","3.63112384785353","5.63112384785353","Mesophyll Conductance","0.125","11"
"62","116.09750235864","3.76218779482999","5.76218779482999","Mesophyll Conductance","0.125","11"
"63","118.143383845565","3.89292298069557","5.89292298069557","Mesophyll Conductance","0.125","11"
"64","120.186645127188","4.02333064089848","6.02333064089848","Mesophyll Conductance","0.125","11"
"65","122.227296037635","4.15341200470443","6.15341200470443","Mesophyll Conductance","0.125","11"
"66","124.265346361882","4.28316829523526","6.28316829523526","Mesophyll Conductance","0.125","11"
"67","126.300805836058","4.41260072950728","6.41260072950728","Mesophyll Conductance","0.125","11"
"68","128.333684147755","4.54171051846933","6.54171051846933","Mesophyll Conductance","0.125","11"
"69","130.363990936324","4.67049886704051","6.67049886704051","Mesophyll Conductance","0.125","11"
"70","132.391735793182","4.79896697414769","6.79896697414769","Mesophyll Conductance","0.125","11"
"71","134.416928262102","4.92711603276272","6.92711603276272","Mesophyll Conductance","0.125","11"
"72","136.439577839515","5.05494722993933","7.05494722993933","Mesophyll Conductance","0.125","11"
"73","138.459693974798","5.18246174684981","7.18246174684981","Mesophyll Conductance","0.125","11"
"74","140.477286070571","5.30966075882137","7.30966075882137","Mesophyll Conductance","0.125","11"
"75","142.492363482978","5.43654543537228","7.43654543537228","Mesophyll Conductance","0.125","11"
"76","144.504935521981","5.56311694024766","7.56311694024766","Mesophyll Conductance","0.125","11"
"77","146.515011451641","5.68937643145512","7.68937643145512","Mesophyll Conductance","0.125","11"
"78","148.5226004904","5.81532506130003","7.81532506130003","Mesophyll Conductance","0.125","11"
"79","150.527711811365","5.94096397642062","7.94096397642062","Mesophyll Conductance","0.125","11"
"80","152.530354542582","6.06629431782272","8.06629431782272","Mesophyll Conductance","0.125","11"
"81","154.530537767315","6.19131722091435","8.19131722091435","Mesophyll Conductance","0.125","11"
"82","156.52827052432","6.31603381553998","8.31603381553998","Mesophyll Conductance","0.125","11"
"83","158.523561808117","6.44044522601458","8.44044522601458","Mesophyll Conductance","0.125","11"
